Iteration,Max_Displacement_in,Avg_Stress,Total_Weight_estimate,Max_Stress
1,0.003954067569387599,0.0034743732558211574,68.00000000000001,0.006558553660443099
2,0.003236478856961902,0.003075360037161466,82.89845745241651,0.00556858144603165
3,0.002881130898998196,0.0028268280873666664,94.56794748396209,0.00502520372806481
4,0.0026693148242371277,0.002663440187456716,103.30171820598238,0.004687603390328034
5,0.002533689812548757,0.002552260088210833,109.72700004389263,0.004466866112074002
6,0.0024435303171336407,0.002475245483775342,114.40029006828767,0.004318294449936524
7,0.002382219321165918,0.002421358499356298,117.77204763295927,0.004216428798942955
8,0.002339912708303656,0.0023834107821526815,120.19109343579734,0.004145723565360068
9,0.002310437197848872,0.0023565718453845523,121.91971317298844,0.004096241177919411
10,0.0022897697578943732,0.002337535055785588,123.15138098347975,0.004061420707388925
